Feature,RAD = 24,RAD < 24,"Lasso, RAD = 24","Lasso, RAD < 24"
AGE,-0.07415526883017318,0.08669866101435703,-0.0,0.0
B,0.03263583680039628,-0.21737520303345603,-0.0,-0.1397692507961986
CHAS,0.007432759258033252,0.0474770676395781,-0.0,0.0
DIS,-0.559057764771212,0.22857066822997796,-0.30398465014062104,-0.0
INDUS,-1.6653345369377348e-16,0.11167799629612246,0.0,0.0
LSTAT,-0.21452308868807451,0.0017165008543370969,0.0,0.0
MEDV,-0.4795345242281304,0.24461469873359762,-0.20483207833069147,-0.0
NOX,-0.1989192479056004,0.6790545029685936,-0.0317960204736024,0.6015720408102874
PTRATIO,0.0,-0.12473634935620911,0.0,-0.05290809819431583
RAD,2.7755575615628914e-17,0.034038871556277536,0.0,0.0
RM,-0.05049162890037144,-0.23374156836450666,-0.0,-0.0
TAX,1.1102230246251565e-16,-0.014302388217149273,0.0,0.0
ZN,0.0,-0.029656206114742508,0.0,-0.0
