Feature,Random Forest-Combined,Lasso-Combined
Apps,0.016918869517846997,0.0
Accept,0.017107121403933192,0.0
Enroll,0.009895257465087431,-0.0
Top10perc,0.010858251797590784,0.04088799750822417
Top25perc,0.00810746826185839,0.0
F.Undergrad,0.014777826334863796,-0.0
P.Undergrad,0.02192937624840765,-0.0
PhD,0.010847851959522025,0.0
Terminal,0.01689128662275674,0.09616102483322517
S.F.Ratio,0.012937191131770366,-0.0030914169135268987
perc.alumni,0.0209818058468295,0.08951965483848504
Expend,0.577712568032082,0.3160496516328691
Grad.Rate,0.03296536789352609,0.12008836259834395
IsPrivate,0.12830396531327473,0.25897147590418385
AcceptRate,0.020639775945984203,-0.0
EnrollRate,0.058401231431302804,-0.0
MatriculationRate,0.020724784793363146,-0.1324574529224101
